"Name","Solo runs into attacking third","Solo runs into key area","Solo runs into penalty area","Deliveries into attacking third","Deliveries into a key area","Deliveries into penalty area"
"France",133,79,40,296,202,97
"Wales",80,50,16,164,84,43
"Portugal",133,82,26,329,167,77
"Belgium",112,98,30,231,164,62
"Iceland",34,14,15,111,62,37
"Germany",126,115,34,458,253,89
"Italy",52,43,20,148,92,33
"Hungary",49,39,17,146,63,29
"Croatia",79,44,15,126,55,40
"Spain",86,76,20,263,190,66
"Poland",63,41,20,170,86,41
"England",105,68,20,200,161,57
"Republic of Ireland",46,34,9,112,50,40
"Slovakia",56,37,10,88,57,17
"Switzerland",60,46,16,202,81,60
"Northern Ireland",28,15,8,99,27,26
"Czech Republic",38,25,7,97,42,21
"Romania",28,23,5,116,64,13
"Russia",35,33,5,124,92,24
"Turkey",41,31,7,71,42,15
"Albania",37,19,2,75,27,21
"Austria",36,32,10,135,76,32
"Sweden",52,26,7,98,53,31
"Ukraine",50,32,10,110,48,27
