"Name","Total attempts","Attempts per game","On target","Off target","Blocked","Hit woodwork"
"France",121,17.29,43,42,36,6
"Wales",68,11.33,32,22,14,0
"Portugal",121,17.29,39,49,33,3
"Belgium",98,19.6,35,38,25,0
"Iceland",40,8,19,16,5,1
"Germany",108,18,37,46,25,4
"Italy",47,9.4,19,15,13,2
"Hungary",53,13.25,23,20,10,1
"Croatia",67,16.75,16,40,11,4
"Spain",63,15.75,19,28,16,0
"Poland",69,13.8,17,31,21,0
"England",83,20.75,20,36,27,0
"Republic of Ireland",38,9.5,12,18,8,1
"Slovakia",33,8.25,9,18,6,1
"Switzerland",71,17.75,20,25,26,2
"Northern Ireland",23,5.75,11,6,6,0
"Czech Republic",27,9,12,8,7,1
"Romania",40,13.33,9,19,12,2
"Russia",34,11.33,6,17,11,0
"Turkey",26,8.67,4,15,7,0
"Albania",30,10,8,12,10,1
"Austria",40,13.33,10,17,13,2
"Sweden",23,7.67,3,12,8,0
"Ukraine",43,14.33,13,19,11,0
