"Name","Corners won","Corners per game","Corners conceded","Corners conceded per game"
"France",48,6.86,29,4.14
"Wales",19,3.17,36,6
"Portugal",50,7.14,24,3.43
"Belgium",41,8.2,27,5.4
"Iceland",14,2.8,34,6.8
"Germany",41,6.83,28,4.67
"Italy",27,5.4,32,6.4
"Hungary",18,4.5,24,6
"Croatia",25,6.25,14,3.5
"Spain",37,9.25,14,3.5
"Poland",19,3.8,32,6.4
"England",33,8.25,9,2.25
"Republic of Ireland",14,3.5,23,5.75
"Slovakia",9,2.25,27,6.75
"Switzerland",29,7.25,24,6
"Northern Ireland",13,3.25,16,4
"Czech Republic",13,4.33,28,9.33
"Romania",10,3.33,18,6
"Russia",14,4.67,16,5.33
"Turkey",9,3,20,6.67
"Albania",15,5,12,4
"Austria",11,3.67,17,5.67
"Sweden",13,4.33,24,8
"Ukraine",17,5.67,11,3.67
