"Name","Goals","Goals per game","Goals conceded","Conceded per game","Goal difference"
"France",13,1.86,5,0.71,8
"Wales",10,1.67,6,1,4
"Portugal",9,1.29,5,0.71,4
"Belgium",9,1.8,5,1,4
"Iceland",8,1.6,9,1.8,-1
"Germany",7,1.17,3,0.5,4
"Italy",6,1.2,2,0.4,4
"Hungary",6,1.5,8,2,-2
"Croatia",5,1.25,4,1,1
"Spain",5,1.25,4,1,1
"Poland",4,0.8,2,0.4,2
"England",4,1,4,1,0
"Republic of Ireland",3,0.75,6,1.5,-3
"Slovakia",3,0.75,6,1.5,-3
"Switzerland",3,0.75,2,0.5,1
"Northern Ireland",2,0.5,3,0.75,-1
"Czech Republic",2,0.67,5,1.67,-3
"Romania",2,0.67,4,1.33,-2
"Russia",2,0.67,6,2,-4
"Turkey",2,0.67,4,1.33,-2
"Albania",1,0.33,3,1,-2
"Austria",1,0.33,4,1.33,-3
"Sweden",1,0.33,3,1,-2
"Ukraine",0,0,5,1.67,-5
