"Name","Solo runs into attacking third","Solo runs into key area","Solo runs into penalty area","Deliveries into attacking third","Deliveries into a key area","Deliveries into penalty area"
"Antoine Griezmann",11,11,5,21,17,11
"Cristiano Ronaldo",18,11,4,20,14,5
"Olivier Giroud",3,0,3,8,6,2
"Dimitri Payet",22,17,12,32,24,32
"Gareth Bale",27,21,6,21,11,8
"Nani",10,6,6,10,10,5
"Álvaro Morata",5,5,1,5,6,1
"Radja Nainggolan",6,4,0,18,10,3
"Ivan Perišic",11,3,5,7,4,4
"Jakub Blaszczykowski",7,2,3,9,8,7
"Bogdan Stancu",3,2,0,3,6,0
"Hal Robson-Kanu",3,2,1,0,1,2
"Mario Gomez",2,1,4,2,0,3
"Balázs Dzsudzsák",11,12,2,15,13,8
"Graziano Pellè",6,5,1,8,8,3
"Robbie Brady",9,7,1,19,8,11
"Romelu Lukaku",5,4,4,7,9,2
"Kolbeinn Sigthórsson",1,1,1,10,9,3
"Birkir Bjarnason",8,5,2,3,1,3
"Eden Hazard",35,34,8,32,47,11
"Aaron Ramsey",12,12,5,17,8,12
"Nikola Kalinic",1,1,0,2,2,2
"Wes Hoolahan",5,6,2,11,7,7
"Nolito",1,5,6,0,15,11
"Vladimír Weiss",12,8,3,8,10,3
"Ricardo Quaresma",8,9,6,6,2,8
"Julian Draxler",10,11,6,8,10,8
"Marek Hamšík",6,7,2,17,10,3
"Jón Dadi Bödvarsson",3,1,2,5,4,2
"Xherdan Shaqiri",13,8,6,21,10,17
"Emanuele Giaccherini",4,3,5,10,9,5
"Gylfi Sigurdsson",4,1,4,8,6,5
"Leonardo Bonucci",2,1,0,16,5,4
"Arkadiusz Milik",7,7,2,13,8,11
"Mesut Özil",32,26,5,53,48,17
"Arnor Ingvi Traustason",1,0,0,1,0,0
"Michy Batshuayi",1,1,0,2,1,0
"Niall McGinn",1,0,0,1,1,0
"Milan Škoda",0,0,0,0,1,0
"Alessandro Schöpf",2,2,1,8,2,1
"Zoltán Stieber",2,0,2,3,2,2
"Shkodran Mustafi",1,0,0,9,2,1
"Denis Glushakov",1,2,0,9,5,0
"Ondrej Duda",1,2,0,4,1,0
"Jamie Vardy",0,0,0,0,3,0
"Tomáš Necid",4,3,1,2,0,0
"Sam Vokes",0,0,0,3,3,0
"Burak Yilmaz",1,1,1,2,1,0
"Daniel Sturridge",10,13,2,5,10,6
"Yannick Carrasco",9,7,5,3,6,4
"Bastian Schweinsteiger",7,5,0,19,12,0
"Vasili Berezutski",4,1,0,14,11,2
"Armando Sadiku",4,6,0,3,1,0
"Ádám Szalai",4,6,0,1,3,1
"Zoltán Gera",3,1,1,17,7,0
"Ozan Tufan",4,3,0,6,2,1
"Luka Modric",14,10,0,19,6,2
"Wayne Rooney",10,7,1,35,19,9
"Admir Mehmedi",11,6,3,12,9,6
"Eric Dier",5,4,0,46,29,4
"Gareth McAuley",0,0,0,6,1,1
"Éder",8,5,3,11,1,2
"Gerard Piqué",7,7,0,28,14,2
"Ivan Rakitic",18,12,3,10,9,10
"Fabian Schär",4,3,0,23,10,4
"Giorgio Chiellini",2,1,0,16,7,0
"Renato Sanches",21,12,4,24,12,3
"Ragnar Sigurdsson",0,0,0,10,7,0
"Toby Alderweireld",0,0,0,18,3,2
"Axel Witsel",14,12,0,30,12,4
"Jérôme Boateng",8,9,1,83,10,6
"Robert Lewandowski",9,5,3,16,8,3
"Ashley Williams",0,0,1,15,8,0
"Neil Taylor",8,2,0,14,4,10
"Paul Pogba",11,9,0,44,29,7
"Kamil Grosicki",11,7,3,5,8,7
"Kári Árnason",0,0,1,4,3,0
"Kevin De Bruyne",10,14,5,28,17,21
"Elmar Bjarnason",1,0,2,0,0,0
"Nemanja Nikolic",0,0,1,0,0,0
"Eren Derdiyok",0,1,0,1,1,0
"Tamás Priskin",0,0,1,3,1,0
"Emre Mor",4,3,1,0,2,0
"Simone Zaza",0,1,0,1,0,0
"Matteo Darmian",3,4,2,5,4,0
"László Kleinheisler",5,4,2,8,4,4
"Tomáš Rosický",5,6,0,9,0,2
"Antonio Candreva",1,2,1,3,4,3
"Ledian Memushaj",2,1,0,6,3,8
"Oleg Shatov",5,7,0,6,6,6
"Georgi Schennikov",1,1,0,8,0,2
"André-Pierre Gignac",3,7,6,0,3,2
"N'Golo Kanté",2,3,0,16,12,1
"David Alaba",6,5,0,12,8,4
"Róbert Mak",5,4,3,6,5,2
"Mehmet Topal",0,0,0,4,1,1
"Zlatan Ibrahimovic",6,6,1,6,7,2
"André Gomes",4,4,1,12,6,3
"Marcelo Brozovic",8,6,1,7,6,6
