"Name","Goals","Assists","Minutes","Matches"
"Antoine Griezmann",6,2,555,7
"Cristiano Ronaldo",3,3,625,7
"Olivier Giroud",3,2,456,6
"Dimitri Payet",3,2,506,7
"Gareth Bale",3,1,533,6
"Nani",3,1,706,7
"Álvaro Morata",3,0,289,4
"Radja Nainggolan",2,1,365,5
"Ivan Perišic",2,1,387,4
"Jakub Blaszczykowski",2,1,445,5
"Bogdan Stancu",2,0,264,3
"Hal Robson-Kanu",2,0,269,5
"Mario Gomez",2,0,271,4
"Balázs Dzsudzsák",2,0,360,4
"Graziano Pellè",2,0,360,4
"Robbie Brady",2,0,360,4
"Romelu Lukaku",2,0,402,5
"Kolbeinn Sigthórsson",2,0,404,5
"Birkir Bjarnason",2,0,450,5
"Eden Hazard",1,4,441,5
"Aaron Ramsey",1,4,448,5
"Nikola Kalinic",1,1,122,2
"Wes Hoolahan",1,1,181,4
"Nolito",1,1,277,4
"Vladimír Weiss",1,1,278,4
"Ricardo Quaresma",1,1,286,7
"Julian Draxler",1,1,359,5
"Marek Hamšík",1,1,360,4
"Jón Dadi Bödvarsson",1,1,364,5
"Xherdan Shaqiri",1,1,377,4
"Emanuele Giaccherini",1,1,390,4
"Gylfi Sigurdsson",1,1,450,5
"Leonardo Bonucci",1,1,480,5
"Arkadiusz Milik",1,1,510,5
"Mesut Özil",1,1,570,6
"Arnor Ingvi Traustason",1,0,11,2
"Michy Batshuayi",1,0,21,2
"Niall McGinn",1,0,38,3
"Éder",1,0,54,3
"Milan Škoda",1,0,56,2
"Alessandro Schöpf",1,0,83,3
"Zoltán Stieber",1,0,83,3
"Shkodran Mustafi",1,0,119,2
"Denis Glushakov",1,0,145,3
"Ondrej Duda",1,0,154,3
"Jamie Vardy",1,0,165,3
"Tomáš Necid",1,0,169,3
"Sam Vokes",1,0,187,4
"Burak Yilmaz",1,0,205,3
"Daniel Sturridge",1,0,210,3
"Yannick Carrasco",1,0,214,5
"Bastian Schweinsteiger",1,0,219,5
"Vasili Berezutski",1,0,225,3
"Armando Sadiku",1,0,231,3
"Ádám Szalai",1,0,236,4
"Zoltán Gera",1,0,270,4
"Ozan Tufan",1,0,270,3
"Luka Modric",1,0,272,3
"Wayne Rooney",1,0,290,4
"Admir Mehmedi",1,0,307,4
"Eric Dier",1,0,315,4
"Gareth McAuley",1,0,354,4
"Éder",1,0,355,4
"Gerard Piqué",1,0,360,4
"Ivan Rakitic",1,0,380,4
"Fabian Schär",1,0,390,4
"Giorgio Chiellini",1,0,391,4
"Renato Sanches",1,0,407,6
"Ragnar Sigurdsson",1,0,450,5
"Toby Alderweireld",1,0,450,5
"Axel Witsel",1,0,450,5
"Jérôme Boateng",1,0,509,6
"Robert Lewandowski",1,0,510,5
"Ashley Williams",1,0,540,6
"Neil Taylor",1,0,540,6
"Paul Pogba",1,0,602,7
"Kamil Grosicki",0,2,302,5
"Kári Árnason",0,2,405,5
"Kevin De Bruyne",0,2,450,5
"Elmar Bjarnason",0,1,34,3
"Nemanja Nikolic",0,1,39,2
"Eren Derdiyok",0,1,50,1
"Tamás Priskin",0,1,87,2
"Emre Mor",0,1,90,2
"Simone Zaza",0,1,121,3
"Matteo Darmian",0,1,128,4
"László Kleinheisler",0,1,170,2
"Tomáš Rosický",0,1,178,2
"Ledian Memushaj",0,1,180,2
"Oleg Shatov",0,1,180,2
"Georgi Schennikov",0,1,180,2
"Antonio Candreva",0,1,180,2
"André-Pierre Gignac",0,1,204,6
"N'Golo Kanté",0,1,244,4
"David Alaba",0,1,245,3
"Róbert Mak",0,1,260,3
"Mehmet Topal",0,1,270,3
"Zlatan Ibrahimovic",0,1,270,3
"André Gomes",0,1,294,5
"Dele Alli",0,1,300,4
"Marcelo Brozovic",0,1,300,3
"Stuart Dallas",0,1,315,4
"Cesc Fàbregas",0,1,315,4
"João Moutinho",0,1,318,6
"Oliver Norwood",0,1,349,4
"Jordi Alba",0,1,351,4
"Adil Rami",0,1,360,4
"Seamus Coleman",0,1,360,4
"Thomas Meunier",0,1,360,4
"Andrés Iniesta",0,1,360,4
"Johann Gudmundsson",0,1,446,5
"Ari Skúlason",0,1,450,5
"Raphael Guerreiro",0,1,510,5
"Joe Allen",0,1,524,6
"Chris Gunter",0,1,540,6
"João Mário",0,1,562,7
"Thomas Müller",0,1,570,6
"Toni Kroos",0,1,570,6
"Jonas Hector",0,1,570,6
"Blaise Matuidi",0,1,583,7
"Bacary Sagna",0,1,660,7
"Filip Starzynski",0,0,1,1
"Shani Tarashaj",0,0,1,1
"Rafa Silva",0,0,1,1
"Anatoliy Tymoshchuk",0,0,1,1
"Duje Cop",0,0,1,1
"Stephen Quinn",0,0,1,1
"Daniel Kolár",0,0,1,1
"Jazz Richards",0,0,2,1
"Gordon Schildenfeld",0,0,2,2
"Kevin Wimmer",0,0,3,1
"James Milner",0,0,3,1
"Lukas Hinterseer",0,0,5,1
"Andrej Kramaric",0,0,5,3
"Frédéric Veseli",0,0,5,1
"Kornel Saláta",0,0,6,1
"Miroslav Stoch",0,0,7,1
"Shkëlzen Gashi",0,0,8,1
"Erkan Zengin",0,0,8,1
"César Azpilicueta",0,0,9,1
"Stephan El Shaarawy",0,0,9,1
"Christian Benteke",0,0,10,2
"Michael Lang",0,0,11,2
"Leroy Sané",0,0,11,1
"Jakob Jantscher",0,0,12,1
"Eidur Gudjohnsen",0,0,13,2
"Denys Garmash",0,0,14,1
"Fabian Frei",0,0,15,1
"Pedro Rodríguez",0,0,17,2
"Sokol Çikalleshi",0,0,17,1
"Eliaquim Mangala",0,0,18,1
"Divock Origi",0,0,18,2
"Lukas Podolski",0,0,18,1
"Koke",0,0,19,1
"Yunus Malli",0,0,20,1
"Lucas Vázquez",0,0,20,1
"Aleksandr Samedov",0,0,20,1
"Marcus Rashford",0,0,20,2
"Slawomir Peszko",0,0,21,3
"Robbie Keane",0,0,23,2
"Emil Hallfredsson",0,0,25,1
"Rubin Okotie",0,0,25,1
"Stanislav Šesták",0,0,26,1
"Thiago Alcántara",0,0,26,2
"Steliano Filip",0,0,28,1
"Ergys Kaçe",0,0,29,1
"Jimmy Durmaz",0,0,31,2
"Bekim Balaj",0,0,31,1
"Josh Magennis",0,0,32,3
"Simon Church",0,0,34,2
"Dániel Böde",0,0,35,2
"Lorenzo Insigne",0,0,36,3
"Mateo Kovacic",0,0,36,2
"Lorik Cana",0,0,43,2
"Aiden McGeady",0,0,44,3
"Lucian Sânmartean",0,0,45,1
"Aleksei Berezutski",0,0,45,1
"Nuri Sahin",0,0,45,1
"Mikael Lustig",0,0,45,1
"Piotr Zielinski",0,0,45,1
"Barnabás Bese",0,0,45,1
"Ján Greguš",0,0,45,1
"Paddy McNair",0,0,46,2
"Josef Šural",0,0,46,3
"Sverrir Ingason",0,0,49,2
"Olcay Sahan",0,0,49,2
"Adam Nemec",0,0,54,2
"Gelson Fernandes",0,0,56,3
"Bruno Soriano",0,0,56,2
"Mousa Dembélé",0,0,57,1
"Zlatko Junuzovic",0,0,59,1
"David Pavelka",0,0,59,2
"Federico Bernardeschi",0,0,60,1
"Shane Ferguson",0,0,66,1
"Jirí Skalák",0,0,67,1
"Emre Can",0,0,67,1
"James Collins",0,0,67,2
"Anthony Martial",0,0,68,3
"Cenk Tosun",0,0,70,2
"André Schürrle",0,0,71,3
"Borek Dockal",0,0,71,1
"Alfred Finnbogason",0,0,75,3
"Jordan Lukaku",0,0,75,1
"Chris Baird",0,0,76,1
"Laurent Ciman",0,0,76,1
"Taulant Xhaka",0,0,77,2
"Roman Shirokov",0,0,80,3
"Marko Rog",0,0,82,1
"David Lafata",0,0,82,2
"Migjen Basha",0,0,83,1
"Denis Alibec",0,0,86,2
"Theodor Gebre Selassie",0,0,86,1
"Aritz Aduriz",0,0,87,3
"Florin Andone",0,0,89,3
"Ciro Immobile",0,0,89,2
"Jon Walters",0,0,89,2
"Olexandr Kucher",0,0,90,1
"Daniel Pudil",0,0,90,1
"Ruslan Rotan",0,0,90,1
"Claudiu Ke<U+0219>erü",0,0,90,1
"Bruno Alves",0,0,90,1
"Dmitri Kombarov",0,0,90,1
"Ryan Bertrand",0,0,90,1
"Wojciech Szczesny",0,0,90,1
"Alexandru Matel",0,0,90,1
"Salvatore Sirigu",0,0,90,1
"Danny Ward",0,0,90,1
"Angelo Ogbonna",0,0,90,1
"Jordan Henderson",0,0,90,1
"Mihály Korhut",0,0,90,1
"Ismail Köybasi",0,0,90,1
"Bohdan Butko",0,0,90,1
"Conor McLaughlin",0,0,90,1
"Tin Jedvaj",0,0,90,1
"Jason Denayer",0,0,90,1
"Nathaniel Clyne",0,0,90,1
"Thiago Cionek",0,0,90,1
"Attila Fiola",0,0,90,1
"Šime Vrsaljko",0,0,91,2
"Yohan Cabaye",0,0,91,2
"Yevhen Seleznyov",0,0,95,2
"Oscar Lewicki",0,0,97,2
"Olexandr Zinchenko",0,0,97,3
"Marko Pjaca",0,0,101,3
"Milan Škriniar",0,0,102,2
"Odise Roshi",0,0,105,3
"Volkan Sen",0,0,106,2
"Norbert Gyömber",0,0,108,2
"Alexandru Chipciu",0,0,108,2
"Krisztián Németh",0,0,108,2
"David Edwards",0,0,108,3
"Marc Janko",0,0,110,2
"Jack Wilshere",0,0,112,3
"Andy King",0,0,116,3
"Roman Neustädter",0,0,125,2
"Marcus Berg",0,0,127,3
"Gabriel Torje",0,0,131,3
"Stefan Ilsanker",0,0,132,2
"Michal Duriš",0,0,133,3
"Sebastian Prödl",0,0,135,2
"Daryl Murphy",0,0,135,2
"Andrei Prepelita",0,0,135,2
"Mihai Pintilii",0,0,135,2
"Ákos Elek",0,0,135,2
"Hakan Çalhanoglu",0,0,135,2
"Oguzhan Özyakup",0,0,136,3
"Jonathan Williams",0,0,140,4
"Pavel Mamaev",0,0,140,3
"Dušan Švento",0,0,141,3
"John Guidetti",0,0,143,3
"Marouane Fellaini",0,0,144,3
"Patrik Hrošovský",0,0,150,2
"Adrian Popa",0,0,150,2
"Razvan Rat",0,0,152,2
"Thiago Motta",0,0,154,4
"Viktor Pecovský",0,0,156,2
"Shane Duffy",0,0,156,2
"Aleksandar Dragovic",0,0,156,2
"Tomasz Jodlowiec",0,0,157,5
"Dries Mertens",0,0,158,5
"Aleksandr Golovin",0,0,160,3
"Andi Lila",0,0,161,2
"Nicolae Stanciu",0,0,162,2
"Burim Kukeli",0,0,164,2
"Serhiy Sydorchuk",0,0,166,2
"Ádám Pintér",0,0,166,3
"Martin Harnik",0,0,167,2
"Albin Ekdal",0,0,173,3
"Viktor Kovalenko",0,0,173,3
"Gergo Lovrencsics",0,0,173,2
"Arlind Ajeti",0,0,175,2
"Roman Zozulya",0,0,175,3
"Ciaran Clark",0,0,180,2
"Caner Erkin",0,0,180,2
"David Limberský",0,0,180,2
"Richard Keogh",0,0,180,2
"Vyacheslav Shevchuk",0,0,180,2
"Glenn Whelan",0,0,180,2
"Tomáš Hubocan",0,0,180,2
"Yaroslav Rakitskiy",0,0,180,2
"Conor Washington",0,0,188,4
"Raheem Sterling",0,0,192,3
"Breel Embolo",0,0,192,4
"Marcel Sabitzer",0,0,194,3
"John O'Shea",0,0,202,3
"Daniele De Rossi",0,0,206,3
"Bartosz Kapustka",0,0,207,4
"Eliseu",0,0,210,2
"Kyle Lafferty",0,0,211,3
"James McClean",0,0,212,4
"Stefano Sturaro",0,0,215,3
"Jamie Ward",0,0,222,4
"Adam Lallana",0,0,223,3
"Danilo",0,0,225,5
"Ovidiu Hoban",0,0,225,3
"Erik Johansson",0,0,225,3
"Mario Götze",0,0,234,4
"Harry Kane",0,0,240,4
"Fedor Smolov",0,0,245,3
"Arda Turan",0,0,245,3
"Sebastian Larsson",0,0,250,3
"Selçuk Inan",0,0,250,3
"Emil Forsberg",0,0,251,3
"Roland Juhász",0,0,253,3
"Aleksandr Kokorin",0,0,255,3
"Ermir Lenjani",0,0,257,3
"Corry Evans",0,0,264,3
"Jaroslav Plašil",0,0,266,3
"Mario Mandžukic",0,0,268,3
"Artem Fedetskiy",0,0,270,3
"Julian Baumgartlinger",0,0,270,3
"Artem Dzyuba",0,0,270,3
"Ádám Nagy",0,0,270,3
"Danny Rose",0,0,270,3
"Martin Olsson",0,0,270,3
"Tamás Kádár",0,0,270,3
"Igor Smolnikov",0,0,270,3
"Cristian Sapunaru",0,0,270,3
"Petr Cech",0,0,270,3
"Tomáš Sivok",0,0,270,3
"Roman Hubník",0,0,270,3
"Hakan Balta",0,0,270,3
"Sergei Ignashevich",0,0,270,3
"Ansi Agolli",0,0,270,3
"Robert Almer",0,0,270,3
"Igor Akinfeev",0,0,270,3
"Andriy Pyatov",0,0,270,3
"Christian Fuchs",0,0,270,3
"Volkan Babacan",0,0,270,3
"Florian Klein",0,0,270,3
"Andreas Granqvist",0,0,270,3
"Stephen Ward",0,0,270,3
"Vieirinha",0,0,270,3
"Martin Hinteregger",0,0,270,3
"Ladislav Krejcí",0,0,270,3
"Vladimír Darida",0,0,270,3
"Elseid Hysaj",0,0,270,3
"Aaron Hughes",0,0,270,3
"Ricardo Carvalho",0,0,270,3
"Kim Källström",0,0,270,3
"Andreas Isaksson",0,0,270,3
"Victor Lindelöf",0,0,270,3
"Andriy Yarmolenko",0,0,270,3
"Etrit Berisha",0,0,270,3
"Gökhan Gönül",0,0,270,3
"Marko Arnautovic",0,0,270,3
"Taras Stepanenko",0,0,270,3
"Ciprian Tatarusanu",0,0,270,3
"Yevhen Konoplyanka",0,0,270,3
"Yevhen Khacheridi",0,0,270,3
"Vlad Chiriches",0,0,270,3
"Dragos Grigore",0,0,270,3
"Mërgim Mavraj",0,0,270,3
"Kyle Walker",0,0,270,3
"Pavel Kaderábek",0,0,270,3
"Amir Abrashi",0,0,270,3
"Kingsley Coman",0,0,272,6
"Haris Seferovic",0,0,289,4
"James McCarthy",0,0,295,4
"Domagoj Vida",0,0,300,3
"Ivan Strinic",0,0,300,3
"Samuel Umtiti",0,0,300,3
"Blerim Džemaili",0,0,306,4
"Mattia De Sciglio",0,0,323,4
"Adrien Silva",0,0,326,4
"David Silva",0,0,334,4
"Sami Khedira",0,0,341,5
"Alessandro Florenzi",0,0,345,4
"Valon Behrami",0,0,347,4
"Shane Long",0,0,349,4
"Krzysztof Maczynski",0,0,353,4
"Sergio Busquets",0,0,360,4
"Jeff Hendrick",0,0,360,4
"Chris Smalling",0,0,360,4
"Juraj Kucka",0,0,360,4
"Gary Cahill",0,0,360,4
"David de Gea",0,0,360,4
"Ádám Lang",0,0,360,4
"Gábor Király",0,0,360,4
"Craig Cathcart",0,0,360,4
"Jonny Evans",0,0,360,4
"Richárd Guzmics",0,0,360,4
"Joe Hart",0,0,360,4
"Jan Vertonghen",0,0,360,4
"Juanfran",0,0,360,4
"Michael McGovern",0,0,360,4
"Ján Durica",0,0,360,4
"Thomas Vermaelen",0,0,360,4
"Darren Randolph",0,0,360,4
"Sergio Ramos",0,0,360,4
"Martin Škrtel",0,0,360,4
"Steven Davis",0,0,360,4
"Peter Pekarík",0,0,360,4
"Matúš Kozácik",0,0,360,4
"Joe Ledley",0,0,363,6
"Moussa Sissoko",0,0,382,6
"Yann Sommer",0,0,390,4
"Danijel Subašic",0,0,390,4
"Mats Hummels",0,0,390,4
"Milan Badelj",0,0,390,4
"Vedran Corluka",0,0,390,4
"Darijo Srna",0,0,390,4
"Stephan Lichtsteiner",0,0,390,4
"Johan Djourou",0,0,390,4
"Joshua Kimmich",0,0,390,4
"Gianluigi Buffon",0,0,390,4
"Marco Parolo",0,0,390,4
"Ricardo Rodríguez",0,0,390,4
"Granit Xhaka",0,0,390,4
"Lukasz Fabianski",0,0,420,4
"Lukasz Piszczek",0,0,420,4
"Benedikt Höwedes",0,0,422,6
"Aron Gunnarsson",0,0,425,5
"José Fonte",0,0,450,4
"Hannes Halldórsson",0,0,450,5
"Birkir Sævarsson",0,0,450,5
"Wayne Hennessey",0,0,450,5
"Thibaut Courtois",0,0,450,5
"Ben Davies",0,0,450,5
"Cédric",0,0,450,4
"Andrea Barzagli",0,0,480,5
"Artur Jedrzejczyk",0,0,510,5
"Grzegorz Krychowiak",0,0,510,5
"Michal Pazdan",0,0,510,5
"Kamil Glik",0,0,510,5
"William Carvalho",0,0,516,5
"James Chester",0,0,540,6
"Manuel Neuer",0,0,570,6
"Pepe",0,0,630,6
"Laurent Koscielny",0,0,642,7
"Hugo Lloris",0,0,660,7
"Patrice Evra",0,0,660,7
"Rui Patrício",0,0,720,7
