"Name","Matches","Minutes"
"Antoine Griezmann",7,555
"Cristiano Ronaldo",7,625
"Olivier Giroud",6,456
"Dimitri Payet",7,506
"Gareth Bale",6,533
"Nani",7,706
"Álvaro Morata",4,289
"Radja Nainggolan",5,365
"Ivan Perišic",4,387
"Jakub Blaszczykowski",5,445
"Bogdan Stancu",3,264
"Hal Robson-Kanu",5,269
"Mario Gomez",4,271
"Balázs Dzsudzsák",4,360
"Graziano Pellè",4,360
"Robbie Brady",4,360
"Romelu Lukaku",5,402
"Kolbeinn Sigthórsson",5,404
"Birkir Bjarnason",5,450
"Eden Hazard",5,441
"Aaron Ramsey",5,448
"Nikola Kalinic",2,122
"Wes Hoolahan",4,181
"Nolito",4,277
"Vladimír Weiss",4,278
"Ricardo Quaresma",7,286
"Julian Draxler",5,359
"Marek Hamšík",4,360
"Jón Dadi Bödvarsson",5,364
"Xherdan Shaqiri",4,377
"Emanuele Giaccherini",4,390
"Gylfi Sigurdsson",5,450
"Leonardo Bonucci",5,480
"Arkadiusz Milik",5,510
"Mesut Özil",6,570
"Arnor Ingvi Traustason",2,11
"Michy Batshuayi",2,21
"Niall McGinn",3,38
"Éder",3,54
"Milan Škoda",2,56
"Alessandro Schöpf",3,83
"Zoltán Stieber",3,83
"Shkodran Mustafi",2,119
"Denis Glushakov",3,145
"Ondrej Duda",3,154
"Jamie Vardy",3,165
"Tomáš Necid",3,169
"Sam Vokes",4,187
"Burak Yilmaz",3,205
"Daniel Sturridge",3,210
"Yannick Carrasco",5,214
"Bastian Schweinsteiger",5,219
"Vasili Berezutski",3,225
"Armando Sadiku",3,231
"Ádám Szalai",4,236
"Zoltán Gera",4,270
"Ozan Tufan",3,270
"Luka Modric",3,272
"Wayne Rooney",4,290
"Admir Mehmedi",4,307
"Eric Dier",4,315
"Gareth McAuley",4,354
"Éder",4,355
"Gerard Piqué",4,360
"Ivan Rakitic",4,380
"Fabian Schär",4,390
"Giorgio Chiellini",4,391
"Renato Sanches",6,407
"Ragnar Sigurdsson",5,450
"Toby Alderweireld",5,450
"Axel Witsel",5,450
"Jérôme Boateng",6,509
"Robert Lewandowski",5,510
"Ashley Williams",6,540
"Neil Taylor",6,540
"Paul Pogba",7,602
"Kamil Grosicki",5,302
"Kári Árnason",5,405
"Kevin De Bruyne",5,450
"Elmar Bjarnason",3,34
"Nemanja Nikolic",2,39
"Eren Derdiyok",1,50
"Tamás Priskin",2,87
"Emre Mor",2,90
"Simone Zaza",3,121
"Matteo Darmian",4,128
"László Kleinheisler",2,170
"Tomáš Rosický",2,178
"Antonio Candreva",2,180
"Ledian Memushaj",2,180
"Oleg Shatov",2,180
"Georgi Schennikov",2,180
"André-Pierre Gignac",6,204
"N'Golo Kanté",4,244
"David Alaba",3,245
"Róbert Mak",3,260
"Mehmet Topal",3,270
"Zlatan Ibrahimovic",3,270
"André Gomes",5,294
"Marcelo Brozovic",3,300
"Dele Alli",4,300
"Stuart Dallas",4,315
"Cesc Fàbregas",4,315
"João Moutinho",6,318
"Oliver Norwood",4,349
"Jordi Alba",4,351
"Adil Rami",4,360
"Seamus Coleman",4,360
"Thomas Meunier",4,360
"Andrés Iniesta",4,360
"Johann Gudmundsson",5,446
