"Name","Passing accuracy (%)","Passes attempted","Passes completed"
"Antoine Griezmann",84,246,206
"Cristiano Ronaldo",85,195,170
"Olivier Giroud",70,116,80
"Dimitri Payet",86,288,243
"Gareth Bale",74,189,141
"Nani",86,204,177
"Álvaro Morata",74,72,54
"Radja Nainggolan",88,167,148
"Ivan Perišic",78,104,82
"Jakub Blaszczykowski",86,155,135
"Bogdan Stancu",74,65,48
"Hal Robson-Kanu",74,32,24
"Mario Gomez",58,43,32
"Balázs Dzsudzsák",79,135,107
"Graziano Pellè",62,115,75
"Robbie Brady",73,126,93
"Romelu Lukaku",81,90,74
"Kolbeinn Sigthórsson",70,71,50
"Birkir Bjarnason",82,102,85
"Eden Hazard",88,263,233
"Aaron Ramsey",82,255,212
"Nikola Kalinic",87,17,14
"Wes Hoolahan",78,81,63
"Nolito",85,116,101
"Vladimír Weiss",75,92,72
"Ricardo Quaresma",87,106,88
"Julian Draxler",83,162,135
"Marek Hamšík",85,214,183
"Jón Dadi Bödvarsson",69,70,48
"Xherdan Shaqiri",87,166,145
"Emanuele Giaccherini",83,127,105
"Gylfi Sigurdsson",89,132,116
"Leonardo Bonucci",85,250,216
"Arkadiusz Milik",82,125,105
"Mesut Özil",91,420,383
"Arnor Ingvi Traustason",50,4,4
"Michy Batshuayi",83,4,3
"Niall McGinn",36,7,4
"Éder",89,14,10
"Milan Škoda",63,11,7
"Alessandro Schöpf",97,53,51
"Zoltán Stieber",54,31,24
"Shkodran Mustafi",94,103,97
"Denis Glushakov",88,97,85
"Ondrej Duda",89,57,50
"Jamie Vardy",71,21,16
"Tomáš Necid",37,42,22
"Sam Vokes",54,30,21
"Burak Yilmaz",84,55,43
"Daniel Sturridge",82,89,73
"Yannick Carrasco",89,88,78
"Bastian Schweinsteiger",94,196,182
"Vasili Berezutski",91,207,189
"Armando Sadiku",63,43,26
"Ádám Szalai",82,44,36
"Zoltán Gera",89,164,140
"Ozan Tufan",78,95,75
"Luka Modric",88,212,185
"Wayne Rooney",89,225,201
"Admir Mehmedi",87,136,119
"Eric Dier",89,262,236
