"Name","Passes completed","Short passes","Mid-range passes","Long passes"
"Antoine Griezmann",206,61,138,7
"Cristiano Ronaldo",170,83,84,3
"Olivier Giroud",80,47,31,2
"Dimitri Payet",243,79,143,21
"Gareth Bale",141,37,80,24
"Nani",177,76,95,6
"Álvaro Morata",54,25,27,2
"Radja Nainggolan",148,31,97,20
"Ivan Perišic",82,24,51,7
"Jakub Blaszczykowski",135,45,86,4
"Bogdan Stancu",48,22,23,3
"Hal Robson-Kanu",24,9,15,0
"Mario Gomez",32,12,18,2
"Balázs Dzsudzsák",107,30,62,15
"Graziano Pellè",75,33,37,5
"Robbie Brady",93,22,55,16
"Romelu Lukaku",74,34,39,1
"Kolbeinn Sigthórsson",50,26,24,0
"Birkir Bjarnason",85,23,53,9
"Eden Hazard",233,67,142,24
"Aaron Ramsey",212,80,114,18
"Nikola Kalinic",14,7,7,0
"Wes Hoolahan",63,24,27,12
"Nolito",101,41,54,6
"Vladimír Weiss",72,32,33,7
"Ricardo Quaresma",88,32,48,8
"Julian Draxler",135,39,90,6
"Marek Hamšík",183,47,115,21
"Jón Dadi Bödvarsson",48,23,23,2
"Xherdan Shaqiri",145,43,87,15
"Emanuele Giaccherini",105,33,66,6
"Gylfi Sigurdsson",116,35,74,7
"Leonardo Bonucci",216,20,164,32
"Arkadiusz Milik",105,45,56,4
"Mesut Özil",383,99,266,18
"Arnor Ingvi Traustason",4,2,1,1
"Michy Batshuayi",3,1,2,0
"Niall McGinn",4,1,2,1
"Éder",10,7,3,0
"Milan Škoda",7,6,1,0
"Alessandro Schöpf",51,28,20,3
"Zoltán Stieber",24,11,11,2
"Shkodran Mustafi",97,9,79,9
"Denis Glushakov",85,13,62,10
"Ondrej Duda",50,20,26,4
"Jamie Vardy",16,9,6,1
"Tomáš Necid",22,16,6,0
"Sam Vokes",21,11,9,1
"Burak Yilmaz",43,19,19,5
"Daniel Sturridge",73,23,46,4
"Yannick Carrasco",78,31,44,3
"Bastian Schweinsteiger",182,51,124,7
"Vasili Berezutski",189,19,145,25
"Armando Sadiku",26,16,9,1
"Ádám Szalai",36,18,17,1
"Zoltán Gera",140,40,87,13
"Ozan Tufan",75,19,48,8
"Luka Modric",185,37,127,21
"Wayne Rooney",201,35,124,42
"Admir Mehmedi",119,59,56,4
"Eric Dier",236,42,172,22
"Gareth McAuley",55,9,38,8
"Éder",68,24,35,9
"Gerard Piqué",231,29,173,29
"Ivan Rakitic",89,36,49,4
"Fabian Schär",245,36,173,36
"Giorgio Chiellini",190,19,156,15
"Renato Sanches",194,46,139,9
"Ragnar Sigurdsson",110,16,76,18
"Toby Alderweireld",191,25,142,24
"Axel Witsel",233,57,155,21
"Jérôme Boateng",399,43,255,101
"Robert Lewandowski",105,40,55,10
"Ashley Williams",194,17,141,36
"Neil Taylor",112,27,68,17
"Paul Pogba",389,98,250,41
"Kamil Grosicki",48,27,19,2
"Kári Árnason",66,15,44,7
"Kevin De Bruyne",169,55,93,21
"Elmar Bjarnason",7,2,5,0
"Nemanja Nikolic",6,3,3,0
"Eren Derdiyok",10,4,4,2
"Tamás Priskin",14,4,8,2
"Emre Mor",19,6,10,3
"Simone Zaza",15,8,4,3
"Matteo Darmian",31,9,21,1
"László Kleinheisler",58,18,33,7
"Tomáš Rosický",35,9,21,5
"Antonio Candreva",66,19,43,4
"Ledian Memushaj",54,14,32,8
"Oleg Shatov",66,15,42,9
"Georgi Schennikov",63,17,43,3
"André-Pierre Gignac",36,12,24,0
"N'Golo Kanté",200,40,147,13
"David Alaba",98,31,62,5
"Róbert Mak",78,30,47,1
"Mehmet Topal",99,24,63,12
"Zlatan Ibrahimovic",76,31,40,5
"André Gomes",122,26,86,10
"Marcelo Brozovic",85,27,54,4
"Dele Alli",118,37,73,8
"Stuart Dallas",42,15,24,3
"Cesc Fàbregas",275,60,190,25
"João Moutinho",209,41,151,17
"Oliver Norwood",86,19,53,14
"Jordi Alba",239,84,147,8
"Adil Rami",170,18,133,19
"Seamus Coleman",74,20,47,7
"Thomas Meunier",145,52,80,13
"Andrés Iniesta",327,120,181,26
"Johann Gudmundsson",76,17,52,7
"Ari Skúlason",92,20,58,14
"Raphael Guerreiro",236,82,144,10
"Joe Allen",211,51,136,24
"Chris Gunter",170,42,109,19
"João Mário",249,94,141,14
"Thomas Müller",179,68,100,11
"Jonas Hector",304,87,209,8
"Toni Kroos",608,94,424,90
"Blaise Matuidi",345,90,236,19
"Bacary Sagna",252,73,166,13
"Shani Tarashaj",1,1,0,0
"Anatoliy Tymoshchuk",1,0,1,0
"Kevin Wimmer",2,1,1,0
"James Milner",3,1,2,0
"Andrej Kramaric",2,2,0,0
"Frédéric Veseli",4,0,3,1
"Kornel Saláta",3,0,3,0
"Miroslav Stoch",8,2,3,3
"Erkan Zengin",2,0,2,0
"Shkëlzen Gashi",2,0,1,1
"César Azpilicueta",6,0,6,0
"Stephan El Shaarawy",5,5,0,0
"Christian Benteke",4,3,1,0
"Michael Lang",3,0,2,1
"Leroy Sané",4,1,3,0
"Jakob Jantscher",5,1,4,0
"Eidur Gudjohnsen",7,3,3,1
"Denys Garmash",12,2,10,0
"Fabian Frei",12,2,9,1
"Pedro Rodríguez",14,7,6,1
"Sokol Çikalleshi",1,0,1,0
"Eliaquim Mangala",8,1,7,0
"Divock Origi",1,1,0,0
"Lukas Podolski",16,6,9,1
"Koke",14,6,8,0
"Yunus Malli",5,1,3,1
"Lucas Vázquez",12,4,6,2
"Marcus Rashford",8,5,3,0
"Aleksandr Samedov",10,3,7,0
"Slawomir Peszko",3,2,1,0
"Robbie Keane",4,2,2,0
"Emil Hallfredsson",6,5,1,0
"Rubin Okotie",4,2,2,0
"Thiago Alcántara",23,9,13,1
"Steliano Filip",6,1,3,2
"Ergys Kaçe",18,8,8,2
"Bekim Balaj",5,4,1,0
"Jimmy Durmaz",11,1,8,2
"Josh Magennis",3,1,1,1
"Simon Church",8,2,5,1
"Dániel Böde",5,4,1,0
"Lorenzo Insigne",18,6,9,3
"Mateo Kovacic",15,3,12,0
"Lorik Cana",18,6,10,2
"Aiden McGeady",19,4,12,3
"Lucian Sânmartean",31,12,18,1
"Aleksei Berezutski",23,8,14,1
"Mikael Lustig",27,8,16,3
"Nuri Sahin",43,13,29,1
"Barnabás Bese",8,3,5,0
"Piotr Zielinski",7,5,2,0
"Ján Greguš",24,7,14,3
"Paddy McNair",4,3,1,0
"Josef Šural",14,6,7,1
"Sverrir Ingason",20,2,17,1
"Olcay Sahan",9,3,6,0
"Adam Nemec",8,6,2,0
"Bruno Soriano",60,20,37,3
"Gelson Fernandes",32,6,26,0
"Mousa Dembélé",28,9,19,0
"Zlatko Junuzovic",15,7,7,1
"David Pavelka",36,8,27,1
"Federico Bernardeschi",12,5,6,1
"Shane Ferguson",7,3,3,1
"Jirí Skalák",4,2,2,0
"Emre Can",22,8,13,1
"James Collins",37,4,30,3
"Anthony Martial",15,6,9,0
"Cenk Tosun",6,2,4,0
"André Schürrle",31,11,18,2
"Borek Dockal",19,5,13,1
"Alfred Finnbogason",17,7,8,2
"Jordan Lukaku",45,16,26,3
"Laurent Ciman",57,12,39,6
"Chris Baird",16,6,10,0
"Taulant Xhaka",48,18,28,2
"Roman Shirokov",16,3,12,1
"Marko Rog",22,3,16,3
"David Lafata",11,7,4,0
"Migjen Basha",23,8,14,1
"Denis Alibec",15,6,7,2
"Theodor Gebre Selassie",6,1,4,1
"Aritz Aduriz",19,10,7,2
"Ciro Immobile",11,2,8,1
"Florin Andone",13,6,7,0
"Jon Walters",9,7,2,0
"Daniel Pudil",25,2,21,2
"Olexandr Kucher",68,11,51,6
"Claudiu Ke<U+0219>erü",7,6,1,0
"Ruslan Rotan",80,17,59,4
"Bruno Alves",37,1,26,10
"Dmitri Kombarov",40,11,26,3
"Alexandru Matel",44,14,25,5
"Ryan Bertrand",33,10,20,3
"Wojciech Szczesny",15,4,6,5
"Salvatore Sirigu",33,2,20,11
"Jason Denayer",37,3,32,2
"Tin Jedvaj",37,6,25,6
"Attila Fiola",22,1,19,2
"Nathaniel Clyne",39,13,26,0
"Ismail Köybasi",27,14,13,0
"Angelo Ogbonna",42,10,24,8
"Danny Ward",9,0,3,6
"Jordan Henderson",73,13,51,9
"Mihály Korhut",10,2,8,0
"Bohdan Butko",55,20,30,5
"Conor McLaughlin",8,2,4,2
"Šime Vrsaljko",17,6,10,1
"Yohan Cabaye",40,11,28,1
"Yevhen Seleznyov",12,7,4,1
"Oscar Lewicki",27,7,19,1
"Olexandr Zinchenko",47,18,26,3
"Marko Pjaca",15,8,6,1
"Milan Škriniar",36,9,26,1
"Odise Roshi",24,11,12,1
"Volkan Sen",30,19,10,1
"Norbert Gyömber",33,9,22,2
"Alexandru Chipciu",30,13,16,1
"Krisztián Németh",28,12,15,1
"David Edwards",36,11,22,3
"Marc Janko",8,5,3,0
"Jack Wilshere",69,24,38,7
"Andy King",61,17,38,6
"Roman Neustädter",64,10,50,4
"Marcus Berg",22,11,11,0
"Gabriel Torje",26,12,11,3
"Stefan Ilsanker",50,9,34,7
"Michal Duriš",24,16,8,0
"Sebastian Prödl",69,12,48,9
"Daryl Murphy",12,8,3,1
"Andrei Prepelita",51,10,39,2
"Ákos Elek",33,10,22,1
"Mihai Pintilii",39,14,22,3
"Hakan Çalhanoglu",33,15,14,4
"Oguzhan Özyakup",51,22,25,4
"Jonathan Williams",32,10,20,2
"Pavel Mamaev",96,20,65,11
"Dušan Švento",29,15,13,1
"John Guidetti",25,14,10,1
"Marouane Fellaini",80,27,48,5
"Patrik Hrošovský",59,15,40,4
"Adrian Popa",25,12,12,1
"Razvan Rat",38,10,23,5
"Thiago Motta",85,15,62,8
"Viktor Pecovský",41,9,29,3
"Shane Duffy",32,6,24,2
"Aleksandar Dragovic",124,16,84,24
"Tomasz Jodlowiec",44,13,27,4
"Dries Mertens",56,13,39,4
"Aleksandr Golovin",58,17,39,2
"Andi Lila",33,16,15,2
"Nicolae Stanciu",53,21,30,2
"Burim Kukeli",92,30,57,5
"Serhiy Sydorchuk",47,9,32,6
"Ádám Pintér",59,19,36,4
"Martin Harnik",29,10,15,4
"Albin Ekdal",69,22,45,2
"Viktor Kovalenko",57,24,31,2
"Gergo Lovrencsics",46,15,26,5
"Arlind Ajeti",43,7,33,3
"Roman Zozulya",18,12,6,0
"Richard Keogh",32,8,19,5
"Tomáš Hubocan",39,17,21,1
"Caner Erkin",57,16,33,8
"David Limberský",34,5,25,4
"Ciaran Clark",42,8,30,4
"Glenn Whelan",78,13,59,6
"Vyacheslav Shevchuk",52,15,36,1
"Yaroslav Rakitskiy",101,12,61,28
"Conor Washington",11,4,7,0
"Breel Embolo",31,11,20,0
"Raheem Sterling",42,20,22,0
"Marcel Sabitzer",49,25,23,1
"John O'Shea",38,8,26,4
"Daniele De Rossi",98,16,69,13
"Bartosz Kapustka",53,20,30,3
"Eliseu",85,36,48,1
"Kyle Lafferty",14,9,5,0
"James McClean",33,9,22,2
"Stefano Sturaro",31,8,18,5
"Jamie Ward",27,10,15,2
"Adam Lallana",81,29,49,3
"Danilo",114,13,91,10
"Erik Johansson",93,11,75,7
"Ovidiu Hoban",82,33,42,7
"Mario Götze",67,28,37,2
"Harry Kane",36,13,21,2
"Fedor Smolov",41,17,22,2
"Arda Turan",99,35,60,4
"Selçuk Inan",119,28,72,19
"Sebastian Larsson",64,31,29,4
"Emil Forsberg",57,26,30,1
"Roland Juhász",145,21,104,20
"Aleksandr Kokorin",60,18,41,1
"Ermir Lenjani",35,8,26,1
"Corry Evans",48,16,30,2
"Jaroslav Plašil",79,24,48,7
"Mario Mandžukic",52,31,17,4
"Julian Baumgartlinger",159,39,104,16
"Artem Dzyuba",36,17,19,0
"Artem Fedetskiy",79,27,49,3
"Andreas Granqvist",117,19,83,15
"Florian Klein",66,17,47,2
"Ciprian Tatarusanu",56,5,35,16
"Taras Stepanenko",143,21,108,14
"Danny Rose",158,47,97,14
"Martin Olsson",97,25,66,6
"Tamás Kádár",175,40,118,17
"Igor Smolnikov",106,27,72,7
"Cristian Sapunaru",63,25,33,5
"Robert Almer",86,4,59,23
"Roman Hubník",88,19,57,12
"Hakan Balta",89,17,64,8
"Petr Cech",62,2,27,33
"Kim Källström",139,17,94,28
"Sergei Ignashevich",168,6,118,44
