Rank,Bariatric,Orthopedics,Diabetology,Skin & Derma,Cosmetic & Plastic Surgery,Trichology,Ophthalmology,Dentistry
1,"Columbia Asia Referral Hospital, Yeshwanthupur",Sparsh Hospitals(Sparsh Hospitals For Advance Surgeries),Apollo Hospitals(Apollo Sugar),Sakra World Hospital,Apollo Hospital,Manipal Hospital,Narayana Nethralaya,Narayana Health
2,Apollo Hospital,Narayana Multispecialty Hospital,M.V. Hospital for Diabetes & Diabetes research centre,St. John's Hospital,Fortis Hospital,Apollo Hospital,Apollo Hospital,Fortis Hospital
3,Vikram Hospital,Apollo Hospital,Vikram Hospital,Manipal Hospital,Manipal Hospital,Sakra World Hospital,Netradhama Superspecialty Eye Hospital,Manipal Hospital
4,"Fortis Hospital, Bannerghatta Road","Columbia Asia Hospital, Hebbal",Fortis Hospital,Apollo Hospital,Sakra World Hospital,Fortis Hospital,Dr. Agarwal's Eye Hospital,KIMS
5,Manipal Hospital,Fortis Hospital,Sakra World Hospital,Fortis Hospital,"Columbia Asia Referral Hospital, Yeshwantpur",,Manipal Hospital,Sakra World Hospital
6,"Fortis Hospital, Cunningham Road",Manipal Hospital,Manipal Hospital,,,,Navashakthi Nethralaya,
7,,"HOSMAT, The hospital for Orthopaedics","Columbia Asia Hospital, Hebbal",,,,Fortis Hospital,
8,,Vikram Hospital,KIMS,,,,Karthik Netralaya,
9,,M S Ramaiah Memorial Hospital,,,,,Raya Nethralaya,
10,,Mallya Hospital,,,,,Dr. Solanki Eye Hospital,
