Rank,Name,Address,Telephone,Specialty
1,"Medanta the Medicity, Gurgaon","CH Baktawar Singh Road, Sector 38, Near Rajiv Chowk, Gurgaon, Haryana 122001",012-44141414,Cardio Sciences
2,"Fortis Escorts Heart Institute & Research Centre, New Delhi","Okhla Road, Opp Holy Family Hospital, New Delhi, Delhi 110025",011-47135000,Cardio Sciences
3,"Kokilaben Dhirubhai Ambani Hospital & Medical Research Institute, Mumbai","Rao Saheb Achutrao, Patwardhan Marg, Four Bunglows, Mumbai, Maharashtra 400053",022-30666666,Cardio Sciences
4,"Narayana Hrudayalaya, Bangalore","258/A, Bommasandra Industrial Area, Hosur Road, Anekal Taluk, Bangalore, Karnataka 560099",080-71222222,Cardio Sciences
5,"Lilavati Hospital and Research Centre, Mumbai","A - 791, Bandra Reclamation, Bandra West, Mumbai, Maharashtra 400050",022-26751000,Cardio Sciences
6,"Indraprastha Apollo Hospitals, New Delhi","Mathura Road, Sarita Vihar, New Delhi, Delhi 110076",011-26925858,Cardio Sciences
7,"Jaslok Hospital & Research Centre, Mumbai","15, Dr. Deshmukh Marg, Pedder Road, Mumbai, Maharashtra 400026",022-66573333,Cardio Sciences
8,"Bombay Hospital & Medical Research Centre, Mumbai","12, Marine Lines, Mumbai, Maharashtra 400020",022-22017241,Cardio Sciences
9,"Breach Candy, Mumbai","60 A, Bhulabhai Desai Road, Mumbai, Maharashtra 400026",022-23667788,Cardio Sciences
10,"Apollo Hospitals, Chennai","21, Greams Lane, Off Greams Road, Chennai - 600006",044-28290200,Cardio Sciences
11,"Apollo Hospitals, Hyderabad","Jubilee Hills, Hyderabad 500033",04-02360805,Cardio Sciences
12,"Rabindranath Tagore International Institute of Cardiac Sciences, Kolkata","124, Eastern Metropolitan Bypass, Mukundapur, Kolkata, West Bengal 700099",033-71222222,Cardio Sciences
13,"BLK Super Speciality Hospital, New Delhi","5, Pusa Road, New Delhi, Delhi 110005",011-30403040,Cardio Sciences
14,"Sir Gangaram Hospital, New Delhi","Rajinder Nagar, New Delhi, Delhi 110060",011-25750000,Cardio Sciences
15,"B.M. Birla Heart Research Centre, Kolkata","1/1, National Library Avenue, Kolkata, West Bengal 700027",033-30403040,Cardio Sciences
16,"S.L. Raheja(A Fortis Associate) Hospital, Mumbai","Raheja Rugnalaya Marg, Mahim West, Mumbai, Maharashtra 400016",022-66529666,Cardio Sciences
17,"Cumballa Hill Hospital & Heart Institute, Mumbai","93/ 95, August Kranti Marg, Near Kemps Corner, Mumbai, Maharashtra 400036",022-23888621,Cardio Sciences
18,"Fortis Memorial Research Institute, Gurgaon","Sector - 44, Opposite HUDA City Centre, Gurgaon, Haryana 122002",012-44962200,Cardio Sciences
19,"Dr.Balabhai Nanavati Hospital, Mumbai","Swami Vivekanand Road, Vile Parle West, Mumbai, Maharashtra 400056",022-26267500,Cardio Sciences
20,"Apollo Gleneagles Hospital, Kolkata","58, Canal Circular Road, Kadapara, Phool Bagan, Kolkata, West Bengal 700054",033-23203040,Cardio Sciences
1,"Medanta the Medicity, Gurgaon","CH Baktawar Singh Road, Sector 38, Near Rajiv Chowk, Gurgaon, Haryana 122001",012-44141414,Gastroenterology and Hepatology
2,"Indraprastha Apollo Hospitals, New Delhi","Mathura Road, Sarita Vihar, New Delhi, Delhi 110076",011-26925858,Gastroenterology and Hepatology
3,"P.D. Hinduja National Hospital and Medical Research Centre, Mumbai","Veer Savarkar Marg, Mahim, Mumbai, Maharashtra 400016",022-24451515,Gastroenterology and Hepatology
4,"Sir Gangaram Hopsital, New Delhi","Rajinder Nagar, New Delhi, Delhi 110060",011-25750000,Gastroenterology and Hepatology
5,"Lilavati Hospital and Research Centre, Mumbai","A - 791, Bandra Reclamation, Bandra West, Mumbai, Maharashtra 400050",022-26751000,Gastroenterology and Hepatology
6,"Apollo Hospitals, Chennai","21, Greams Lane, Off Greams Road, Chennai - 600006",044-28290200,Gastroenterology and Hepatology
7,"Kokilaben Dhirubhai Ambani Hospital & Medical Research Institute, Mumbai","Rao Saheb Achutrao, Patwardhan Marg, Four Bunglows, Mumbai, Maharashtra 400053",022-30666666,Gastroenterology and Hepatology
8,"Global Hospitals, Hyderabad","Sagar Road, LB Nagar, Hyderabad - 500 035, Telangana",040-24111111,Gastroenterology and Hepatology
9,"Yashoda Hospitals, Hyderabad","Nalgonda X Roads, Malakpet, Hyderabad - 500036",040-45674567,Gastroenterology and Hepatology
10,"Apollo Hospitals, Jubilee Hill, Hyderabad","Jubilee Hills, Hyderabad, Telangana 500033",040-60601066,Gastroenterology and Hepatology
11,"Max Super Speciality Hospital, New Delhi","1,2, Press Enclave Road, Saket, New Delhi, Delhi 110017",011-26515050,Gastroenterology and Hepatology
12,"Asian Institute of Gastroenterology, Somajiguda, Hyderabad","H.No. 6-3-661, Near Erra Manzil Bus Stop, Somajiguda, Hyderabad, Telangana 500082",040-23378888,Gastroenterology and Hepatology
13,"Fortis Hospital, Phase VIII, Mohali","Sector 62, Phase - VIII, Sahibzada Ajit Singh Nagar, Punjab 160062",017-24692222,Gastroenterology and Hepatology
14,"Global Health City, Chennai","#439, Cheran Nagar, Perumbakkam, Chennai, Tamil Nadu 600100",044-22777000,Gastroenterology and Hepatology
15,"SIMS(SRM Institute of Medical Sciences), Chennai","No.1, Jawaharlal Nehru Salai ,100 Feet Road, Vadapalani, Chennai, Tamil Nadu 600026",044-20002001,Gastroenterology and Hepatology
16,"The Calcutta Medical Research Institute(CMRI), Kolkata","No 7/2, Diamond Harbour Road, Kolkata, West Bengal 700027",033-30903090,Gastroenterology and Hepatology
17,"Fortis Hospital, Kolkata","730, Anandapur, E.M. Bypass Road, Kolkata, West Bengal 700107",033-66284444,Gastroenterology and Hepatology
18,"Apollo Gleneagles Hospital, Kolkata","58, Canal Circular Road, Kadapara, Phool Bagan, Kolkata, West Bengal 700054",033-23203040,Gastroenterology and Hepatology
19,"Billroth Hospitals, Chennai","43, Lakshmi Talkies Road, Shenoy Nagar, Chennai-30",044-42921777,Gastroenterology and Hepatology
20,"BGS Global Hospital, Bangalore","67, Uttarahalli Main Rd, Channasandra, Kengeri Satellite Town, Bengaluru, Karnataka 056060",080-26255555,Gastroenterology and Hepatology
1,"Indraprastha Apollo Hospitals, New Delhi","Mathura Road, Sarita Vihar, New Delhi, Delhi 110076",011-26925858,Renal Sciences
2,"Medanta the Medicity, Gurgaon","CH Baktawar Singh Road, Sector 38, Near Rajiv Chowk, Gurgaon, Haryana 122001",012-44141414,Renal Sciences
3,"Jaslok Hospital & Research Centre, Mumbai","15, Dr. Deshmukh Marg, Pedder Road, Mumbai, Maharashtra 400026",022-66573333,Renal Sciences
4,"Kokilaben Dhirubhai Ambani Hospital & Medical Research Institute, Mumbai","Rao Saheb Achutrao, Patwardhan Marg, Four Bunglows, Mumbai, Maharashtra 400053",022-30666666,Renal Sciences
5,"Fortis Memorial Research Institute, Gurgaon","Sector - 44, Opposite HUDA City Centre, Gurgaon, Haryana 122002",012-44962200,Renal Sciences
6,"BLK Super Speciality Hospital, New Delhi","5, Pusa Road, New Delhi, Delhi 110005",011-30403040,Renal Sciences
7,"Artemis Hospitals, Gurgaon","Plot No. 14, Road Number 226, Sector 20, Near Metro Station 9, Dwarka, New Delhi, Delhi 110075",011-71111000,Renal Sciences
8,"Global Health City, Chennai","#439, Cheran Nagar, Perumbakkam, Chennai, Tamil Nadu 600100",044-22777000,Renal Sciences
9,"Max Super Speciality Hospital, New Delhi","1,2, Press Enclave Road, Saket, New Delhi, Delhi 110017",011-26515050,Renal Sciences
10,"Sir Gangaram Hopsital, New Delhi","Rajinder Nagar, New Delhi, Delhi 110060",011-25750000,Renal Sciences
11,"Apollo Hospital, Chennai","21, Greams Lane, Off Greams Road, Chennai - 600006",044-28290200,Renal Sciences
12,"Lilavati Hospital and Research Centre, Mumbai","A - 791, Bandra Reclamation, Bandra West, Mumbai, Maharashtra 400050",022-26751000,Renal Sciences
13,"Ruby Hall Clinic, Pune","40, Sassoon Road, Pune, Maharashtra 411001",020-26163391,Renal Sciences
14,"BGS Global Hospital, Bangalore","67, Uttarahalli Main Rd, Channasandra, Kengeri Satellite Town, Bengaluru, Karnataka 056060",080-26255555,Renal Sciences
15,"Apollo Hospitals, Bangalore","BANGALORE 154/11, Opp IIM, Bannerghatta Road, Bangalore - 560076",080-26304050,Renal Sciences
16,"Apollo Hospitals, Jubilee Hill, Hyderabad","Jubilee Hills, Hyderabad, Telangana 500033",040-60601066,Renal Sciences
17,"Moolchand Medcity, New Delhi","Lajpat Nagar III, Near Moolchand Metro Station, New Delhi, Delhi 110024",011-42000000,Renal Sciences
18,"The Calcutta Medical Research Institute(CMRI), Kolkata","No 7/2, Diamond Harbour Road, Kolkata, West Bengal 700027",033-30903090,Renal Sciences
19,"Apollo Gleneagles Hospital, Kolkata","58, Canal Circular Road, Kadapara, Phool Bagan, Kolkata, West Bengal 700054",033-23203040,Renal Sciences
20,"Fortis Hospital, Phase VIII, Mohali","Sector 62, Phase - VIII, Sahibzada Ajit Singh Nagar, Punjab 160062",017-24692222,Renal Sciences
1,"Indraprastha Apollo Hospitals, New Delhi","Mathura Road, Sarita Vihar, New Delhi, Delhi 110076",011-26925858,Oncology
